,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r35,0,264125,204508
1,1988_01_01_training_r35,0,500000,0
2,1988_02_01_training_r35,0,259693,211462
3,1988_03_01_training_r35,0,252056,220304
4,1988_04_01_training_r35,0,250001,224670
5,1988_05_01_training_r35,0,500000,0
6,1988_06_01_training_r35,0,500000,0
7,1988_07_01_training_r35,0,500000,0
8,1988_08_01_training_r35,0,496712,1082
9,1988_09_01_training_r35,0,277632,172377
10,1988_10_01_training_r35,0,250149,210728
11,1988_11_01_training_r35,0,500000,0
12,1988_12_01_training_r35,0,256938,210666
13,1989_01_01_training_r35,0,500000,0
14,1989_02_01_training_r35,0,500000,0
15,1989_03_01_training_r35,0,250128,223885
16,1989_04_01_training_r35,0,250698,224706
17,1989_05_01_training_r35,0,250000,223907
18,1989_06_01_training_r35,0,263342,208625
19,1989_07_01_training_r35,0,500000,0
20,1989_08_01_training_r35,0,500000,0
21,1989_09_01_training_r35,0,500000,0
22,1989_10_01_training_r35,0,500000,0
23,1989_11_01_training_r35,0,254842,212705
24,1989_12_01_training_r35,0,258570,211201
25,1990_01_01_training_r35,0,259427,210509
26,1990_02_01_training_r35,0,259385,212280
27,1990_03_01_training_r35,0,252923,219618
28,1990_04_01_training_r35,0,250406,224101
29,1990_05_01_training_r35,0,500000,0
30,1990_06_01_training_r35,0,500000,0
31,1990_07_01_training_r35,0,500000,0
32,1990_08_01_training_r35,0,500000,0
33,1990_09_01_training_r35,0,495117,368
34,1990_10_01_training_r35,0,256229,204728
35,1990_11_01_training_r35,0,500000,0
36,1990_12_01_training_r35,0,268050,202867
37,1991_01_01_training_r35,0,267573,202460
38,1991_02_01_training_r35,0,256695,215207
39,1991_03_01_training_r35,0,257086,218462
40,1991_04_01_training_r35,0,250649,223088
41,1991_05_01_training_r35,0,500000,0
42,1991_06_01_training_r35,0,474170,17270
43,1991_07_01_training_r35,0,500000,0
44,1991_08_01_training_r35,0,257618,212909
45,1991_09_01_training_r35,0,500000,0
46,1991_10_01_training_r35,0,252660,212740
47,1991_11_01_training_r35,0,280931,190241
48,1991_12_01_training_r35,0,500000,0
49,1992_01_01_training_r35,0,316046,156542
50,1992_02_01_training_r35,0,319257,155147
51,1992_03_01_training_r35,0,260527,216139
52,1992_04_01_training_r35,0,291668,187677
53,1992_05_01_training_r35,0,252007,223922
54,1992_06_01_training_r35,0,270393,208358
55,1992_07_01_training_r35,0,495133,0
56,1992_08_01_training_r35,0,441679,37622
57,1992_09_01_training_r35,0,299159,165859
58,1992_10_01_training_r35,0,250187,219546
